season,sex,ta,pct_too_cold,pct_too_warm,pct_uncomfortable,pct_comfortable,delta_comfort
Winter,Male,20.0,88.63,0.07,88.69,11.31,1.5
Winter,Male,20.25,84.75,0.15,84.91,15.1,1.5
Winter,Male,20.5,80.16,0.23,80.39,19.61,1.5
Winter,Male,20.75,75.17,0.4,75.56,24.43,1.5
Winter,Male,21.0,69.6,0.62,70.22,29.78,1.5
Winter,Male,21.25,63.07,0.94,64.01,35.99,1.5
Winter,Male,21.5,56.39,1.36,57.75,42.25,1.5
Winter,Male,21.75,49.74,1.98,51.72,48.28,1.5
Winter,Male,22.0,42.91,2.96,45.87,54.13,1.5
Winter,Male,22.25,36.79,4.22,41.01,58.99,1.5
Winter,Male,22.5,31.2,6.13,37.34,62.66,1.5
Winter,Male,22.75,26.38,8.48,34.85,65.15,1.5
Winter,Male,23.0,21.62,11.37,32.98,67.01,1.5
Winter,Male,23.25,17.61,15.25,32.86,67.14,1.5
Winter,Male,23.5,14.22,19.84,34.06,65.94,1.5
Winter,Male,23.75,11.39,24.83,36.22,63.78,1.5
Winter,Male,24.0,8.91,30.39,39.3,60.7,1.5
Winter,Male,24.25,6.71,36.94,43.65,56.35,1.5
Winter,Male,24.5,5.12,43.61,48.73,51.28,1.5
Winter,Male,24.75,3.69,50.26,53.95,46.05,1.5
Winter,Male,25.0,2.46,57.08,59.55,40.45,1.5
Winter,Male,25.25,1.65,63.21,64.86,35.14,1.5
Winter,Male,25.5,1.01,68.8,69.81,30.19,1.5
Winter,Male,25.75,0.57,73.62,74.19,25.81,1.5
Winter,Male,26.0,0.29,78.39,78.67,21.33,1.5
Winter,Female,20.0,95.86,0.04,95.91,4.1,1.5
Winter,Female,20.25,94.37,0.07,94.45,5.55,1.5
Winter,Female,20.5,92.52,0.11,92.62,7.37,1.5
Winter,Female,20.75,90.25,0.18,90.44,9.56,1.5
Winter,Female,21.0,87.96,0.29,88.26,11.74,1.5
Winter,Female,21.25,85.0,0.43,85.43,14.57,1.5
Winter,Female,21.5,81.38,0.63,82.01,17.99,1.5
Winter,Female,21.75,77.56,0.82,78.38,21.62,1.5
Winter,Female,22.0,73.11,1.18,74.29,25.71,1.5
Winter,Female,22.25,68.62,1.69,70.31,29.68,1.5
Winter,Female,22.5,63.64,2.27,65.9,34.1,1.5
Winter,Female,22.75,58.6,3.04,61.64,38.36,1.5
Winter,Female,23.0,53.45,4.13,57.59,42.41,1.5
Winter,Female,23.25,48.05,5.63,53.69,46.31,1.5
Winter,Female,23.5,42.73,7.49,50.21,49.79,1.5
Winter,Female,23.75,37.56,9.74,47.31,52.69,1.5
Winter,Female,24.0,32.36,12.04,44.4,55.6,1.5
Winter,Female,24.25,27.64,15.0,42.64,57.36,1.5
