p_f_pct,Winter_exact,Spring_exact,Summer_exact,Autumn_exact,Winter_op,Spring_op,Summer_op,Autumn_op,S1_exact,S1_op
0.0,23.297,23.542,23.911,23.604,23.25,23.5,24.0,23.5,25.08,25.0
0.5,23.303,23.55,23.919,23.611,23.25,23.5,24.0,23.5,25.083,25.0
1.0,23.31,23.557,23.928,23.619,23.25,23.5,24.0,23.5,25.086,25.0
1.5,23.317,23.564,23.937,23.626,23.25,23.5,24.0,23.75,25.089,25.0
2.0,23.323,23.572,23.945,23.634,23.25,23.5,24.0,23.75,25.093,25.0
2.5,23.33,23.579,23.954,23.642,23.25,23.5,24.0,23.75,25.096,25.0
3.0,23.337,23.587,23.962,23.649,23.25,23.5,24.0,23.75,25.099,25.0
3.5,23.343,23.594,23.971,23.657,23.25,23.5,24.0,23.75,25.102,25.0
4.0,23.35,23.601,23.98,23.665,23.25,23.5,24.0,23.75,25.105,25.0
4.5,23.357,23.609,23.988,23.672,23.25,23.5,24.0,23.75,25.108,25.0
5.0,23.363,23.616,23.997,23.68,23.25,23.5,24.0,23.75,25.111,25.0
5.5,23.37,23.624,24.006,23.687,23.25,23.5,24.0,23.75,25.114,25.0
6.0,23.377,23.631,24.014,23.695,23.5,23.75,24.0,23.75,25.117,25.0
6.5,23.383,23.638,24.023,23.703,23.5,23.75,24.0,23.75,25.121,25.0
7.0,23.39,23.646,24.031,23.71,23.5,23.75,24.0,23.75,25.124,25.0
7.5,23.397,23.653,24.04,23.718,23.5,23.75,24.0,23.75,25.127,25.25
8.0,23.403,23.661,24.049,23.726,23.5,23.75,24.0,23.75,25.13,25.25
8.5,23.41,23.668,24.057,23.733,23.5,23.75,24.0,23.75,25.133,25.25
9.0,23.417,23.675,24.066,23.741,23.5,23.75,24.0,23.75,25.136,25.25
9.5,23.423,23.683,24.074,23.749,23.5,23.75,24.0,23.75,25.139,25.25
10.1,23.43,23.69,24.083,23.756,23.5,23.75,24.0,23.75,25.142,25.25
10.6,23.436,23.697,24.092,23.764,23.5,23.75,24.0,23.75,25.146,25.25
11.1,23.443,23.705,24.1,23.771,23.5,23.75,24.0,23.75,25.149,25.25
11.6,23.45,23.712,24.109,23.779,23.5,23.75,24.0,23.75,25.152,25.25
12.1,23.456,23.72,24.117,23.787,23.5,23.75,24.0,23.75,25.155,25.25
12.6,23.463,23.727,24.126,23.794,23.5,23.75,24.25,23.75,25.158,25.25
13.1,23.47,23.734,24.135,23.802,23.5,23.75,24.25,23.75,25.161,25.25
13.6,23.476,23.742,24.143,23.81,23.5,23.75,24.25,23.75,25.164,25.25
14.1,23.483,23.749,24.152,23.817,23.5,23.75,24.25,23.75,25.167,25.25
14.6,23.49,23.757,24.16,23.825,23.5,23.75,24.25,23.75,25.171,25.25
15.1,23.496,23.764,24.169,23.832,23.5,23.75,24.25,23.75,25.174,25.25
15.6,23.503,23.771,24.178,23.84,23.5,23.75,24.25,23.75,25.177,25.25
16.1,23.51,23.779,24.186,23.848,23.5,23.75,24.25,23.75,25.18,25.25
16.6,23.516,23.786,24.195,23.855,23.5,23.75,24.25,23.75,25.183,25.25
17.1,23.523,23.794,24.204,23.863,23.5,23.75,24.25,23.75,25.186,25.25
17.6,23.53,23.801,24.212,23.871,23.5,23.75,24.25,23.75,25.189,25.25
18.1,23.536,23.808,24.221,23.878,23.5,23.75,24.25,24.0,25.192,25.25
18.6,23.543,23.816,24.229,23.886,23.5,23.75,24.25,24.0,25.196,25.25
19.1,23.55,23.823,24.238,23.893,23.5,23.75,24.25,24.0,25.199,25.25
19.6,23.556,23.831,24.247,23.901,23.5,23.75,24.25,24.0,25.202,25.25
20.1,23.563,23.838,24.255,23.909,23.5,23.75,24.25,24.0,25.205,25.25
20.6,23.57,23.845,24.264,23.916,23.5,23.75,24.25,24.0,25.208,25.25
21.1,23.576,23.853,24.272,23.924,23.5,23.75,24.25,24.0,25.211,25.25
21.6,23.583,23.86,24.281,23.932,23.5,23.75,24.25,24.0,25.214,25.25
22.1,23.59,23.868,24.29,23.939,23.5,23.75,24.25,24.0,25.217,25.25
22.6,23.596,23.875,24.298,23.947,23.5,24.0,24.25,24.0,25.221,25.25
23.1,23.603,23.882,24.307,23.955,23.5,24.0,24.25,24.0,25.224,25.25
23.6,23.61,23.89,24.315,23.962,23.5,24.0,24.25,24.0,25.227,25.25
24.1,23.616,23.897,24.324,23.97,23.5,24.0,24.25,24.0,25.23,25.25
24.6,23.623,23.905,24.333,23.977,23.5,24.0,24.25,24.0,25.233,25.25
25.1,23.63,23.912,24.341,23.985,23.75,24.0,24.25,24.0,25.236,25.25
25.6,23.636,23.919,24.35,23.993,23.75,24.0,24.25,24.0,25.239,25.25
26.1,23.643,23.927,24.358,24.0,23.75,24.0,24.25,24.0,25.242,25.25
26.6,23.649,23.934,24.367,24.008,23.75,24.0,24.25,24.0,25.246,25.25
27.1,23.656,23.942,24.376,24.016,23.75,24.0,24.5,24.0,25.249,25.25
27.6,23.663,23.949,24.384,24.023,23.75,24.0,24.5,24.0,25.252,25.25
28.1,23.669,23.956,24.393,24.031,23.75,24.0,24.5,24.0,25.255,25.25
28.6,23.676,23.964,24.402,24.038,23.75,24.0,24.5,24.0,25.258,25.25
29.1,23.683,23.971,24.41,24.046,23.75,24.0,24.5,24.0,25.261,25.25
29.6,23.689,23.979,24.419,24.054,23.75,24.0,24.5,24.0,25.264,25.25
30.2,23.696,23.986,24.427,24.061,23.75,24.0,24.5,24.0,25.267,25.25
30.7,23.703,23.993,24.436,24.069,23.75,24.0,24.5,24.0,25.27,25.25
31.2,23.709,24.001,24.445,24.077,23.75,24.0,24.5,24.0,25.274,25.25
31.7,23.716,24.008,24.453,24.084,23.75,24.0,24.5,24.0,25.277,25.25
32.2,23.723,24.016,24.462,24.092,23.75,24.0,24.5,24.0,25.28,25.25
32.7,23.729,24.023,24.47,24.099,23.75,24.0,24.5,24.0,25.283,25.25
33.2,23.736,24.03,24.479,24.107,23.75,24.0,24.5,24.0,25.286,25.25
33.7,23.743,24.038,24.488,24.115,23.75,24.0,24.5,24.0,25.289,25.25
34.2,23.749,24.045,24.496,24.122,23.75,24.0,24.5,24.0,25.292,25.25
34.7,23.756,24.053,24.505,24.13,23.75,24.0,24.5,24.25,25.295,25.25
35.2,23.763,24.06,24.513,24.138,23.75,24.0,24.5,24.25,25.299,25.25
35.7,23.769,24.067,24.522,24.145,23.75,24.0,24.5,24.25,25.302,25.25
36.2,23.776,24.075,24.531,24.153,23.75,24.0,24.5,24.25,25.305,25.25
36.7,23.783,24.082,24.539,24.161,23.75,24.0,24.5,24.25,25.308,25.25
37.2,23.789,24.09,24.548,24.168,23.75,24.0,24.5,24.25,25.311,25.25
37.7,23.796,24.097,24.556,24.176,23.75,24.0,24.5,24.25,25.314,25.25
38.2,23.803,24.104,24.565,24.183,23.75,24.0,24.5,24.25,25.317,25.25
38.7,23.809,24.112,24.574,24.191,23.75,24.0,24.5,24.25,25.32,25.25
39.2,23.816,24.119,24.582,24.199,23.75,24.0,24.5,24.25,25.324,25.25
39.7,23.823,24.127,24.591,24.206,23.75,24.25,24.5,24.25,25.327,25.25
40.2,23.829,24.134,24.6,24.214,23.75,24.25,24.5,24.25,25.33,25.25
40.7,23.836,24.141,24.608,24.222,23.75,24.25,24.5,24.25,25.333,25.25
41.2,23.842,24.149,24.617,24.229,23.75,24.25,24.5,24.25,25.336,25.25
41.7,23.849,24.156,24.625,24.237,23.75,24.25,24.75,24.25,25.339,25.25
42.2,23.856,24.164,24.634,24.244,23.75,24.25,24.75,24.25,25.342,25.25
42.7,23.862,24.171,24.643,24.252,23.75,24.25,24.75,24.25,25.345,25.25
43.2,23.869,24.178,24.651,24.26,23.75,24.25,24.75,24.25,25.349,25.25
43.7,23.876,24.186,24.66,24.267,24.0,24.25,24.75,24.25,25.352,25.25
44.2,23.882,24.193,24.668,24.275,24.0,24.25,24.75,24.25,25.355,25.25
44.7,23.889,24.201,24.677,24.283,24.0,24.25,24.75,24.25,25.358,25.25
45.2,23.896,24.208,24.686,24.29,24.0,24.25,24.75,24.25,25.361,25.25
45.7,23.902,24.215,24.694,24.298,24.0,24.25,24.75,24.25,25.364,25.25
46.2,23.909,24.223,24.703,24.305,24.0,24.25,24.75,24.25,25.367,25.25
46.7,23.916,24.23,24.711,24.313,24.0,24.25,24.75,24.25,25.37,25.25
47.2,23.922,24.238,24.72,24.321,24.0,24.25,24.75,24.25,25.374,25.25
47.7,23.929,24.245,24.729,24.328,24.0,24.25,24.75,24.25,25.377,25.5
48.2,23.936,24.252,24.737,24.336,24.0,24.25,24.75,24.25,25.38,25.5
48.7,23.942,24.26,24.746,24.344,24.0,24.25,24.75,24.25,25.383,25.5
49.2,23.949,24.267,24.754,24.351,24.0,24.25,24.75,24.25,25.386,25.5
49.7,23.956,24.275,24.763,24.359,24.0,24.25,24.75,24.25,25.389,25.5
50.3,23.962,24.282,24.772,24.366,24.0,24.25,24.75,24.25,25.392,25.5
50.8,23.969,24.289,24.78,24.374,24.0,24.25,24.75,24.25,25.395,25.5
51.3,23.976,24.297,24.789,24.382,24.0,24.25,24.75,24.5,25.399,25.5
51.8,23.982,24.304,24.798,24.389,24.0,24.25,24.75,24.5,25.402,25.5
52.3,23.989,24.311,24.806,24.397,24.0,24.25,24.75,24.5,25.405,25.5
52.8,23.996,24.319,24.815,24.405,24.0,24.25,24.75,24.5,25.408,25.5
53.3,24.002,24.326,24.823,24.412,24.0,24.25,24.75,24.5,25.411,25.5
